ID,Chapter,Title,Criteria,Related_Criteria,Explanation,Service
281,はじめに,はじめに,"LINE広告掲載ガイドライン（以下「本ガイドライン」といいます）は、LINEヤフー株式会社（以下「当社」といいます）が​お客様に対しLINE広告(以下「本サービス」といいます)を提供するにあたり、お客様に円滑にご利用いただくことを目的として定めるものです。​本ガイドラインは、本サービスで配信される広告（当社が提携する第三者の広告枠で配信される広告も含みます）全ての内容に適用されます。

LINE広告で配信される広告は、各種法令、業界が定める自主基準やルールを遵守する必要があります。​また、広告審査については、配信前後にかかわらず、当社ルールに則り行います。​そのため本ガイドラインに抵触したと当社で判断した際は配信内容の修正・削除、配信停止、本サービスの提供停止等の対応を行う場合があります。​ご一読、ご理解の上、配信をお願いします。

本ガイドラインに定めがない場合、LINE広告利用規約（以下「利用規約」といいます）が適用されるものとし、本ガイドラインの定めが利用規約の定めと矛盾もしくは抵触する場合、本ガイドラインが優先して適用されるものとします。

なお、本ガイドラインの記載内容は社会情勢や関係法令の改正等により変更されることがあります。あらかじめご了承ください。",0,,line
282,サービスポリシー,サービスポリシー,"LINE広告は、子どもから大人まで幅広い年齢層のユーザーに対して広告配信を行うプラットフォームです。

そのため、当社は本サービスで配信される広告（当社が提携する第三者の広告枠で配信される広告も含みます）について「情報の受け手（ユーザー）がどう思うか」「ユーザーが必要とする情報を適切な形で提供しているか」「ユーザーが不快に感じることはないか」「すべてのユーザーが安心・安全にサービスを利用できているか」という点を非常に重視しております。​​",0,,line
283,広告アカウント開設,広告アカウント開設,"広告アカウントの開設審査は、当社が独自に定める基準により行うものとし、基準を満たしていないと判断した場合は、当社の裁量により、広告アカウントの開設をお断りする場合があります。
また、お客様を対象に本人確認を実施する場合があります。本人確認とは、LINE広告を申し込んだお客様が実在し、かつ現在有効な住所等で申し込まれたことを確認する目的で、広告掲載前、掲載後にかかわらず、必要に応じて実施します。

広告アカウント開設にあたっては以下の基準により総合的に判断します。

LINEユーザーの不利益につながる可能性はないか
法令に抵触する可能性はないか
利用規約に抵触していないか、あるいは抵触する恐れはないか
当社が独自に定める審査基準を満たしているか
当社の事業へ悪影響を及ぼす、あるいは当社の信用を損なうものでないか
なお、当社はお客様に対し、審査結果およびその理由について説明する義務を負わないものとします。",0,,line
284,広告アカウント作成時の注意点,広告アカウント作成時の注意点,"商材情報に設定するLINE公式アカウントのベーシックID/プレミアムID（※以下ベーシックID/プレミアムIDと呼ぶ）は、認証済アカウントを推奨します。設定されたベーシックID/プレミアムIDは以下を満たしていることを前提とします。条件を満たさないベーシックID/プレミアムIDは広告配信の有無に関わらず、当社より広告アカウントの利用停止をさせていただくことがありますので、予めご了承ください。

広告主が管理するベーシックID/プレミアムIDであること
LINE広告にて広告配信するにあたり、広告主が管理するベーシックID/プレミアムIDの利用許諾を得ていること
ベーシックID/プレミアムIDのアカウント表示名が広告主体者または訴求されるサービスと明らかに関連があることがわかること
商材情報に設定するベーシックID/プレミアムIDのアカウント表示名は、以下の条件を満たしていない場合はご利用になれません。条件を満たさないベーシックID/プレミアムIDは広告配信の有無に関わらず、当社より広告アカウントの利用停止をさせていただくことがありますので、予めご了承ください。

法人⋅団体⋅個人または商品⋅サービスのいずれかの正式名称が必ず含まれていること
実在しない法人⋅団体⋅個人名、または商品⋅サービス名を利用していないこと
事実とは異なるまたは誤認を招くような内容の文字列を使用していないこと
当社または当社の関連会社の商品⋅サービスと誤認されるような表示名ではないこと",0,,line
285,お客様の責任,お客様の責任,"審査の結果、当社が広告アカウント開設を承諾した場合であっても、当社の承諾は本サービス利用にあたってのお客様の法的・社会的責任を減免するものではありません。​​

本サービスをお申し込みになる時点で、本サービスの利用によって生じるお客様の法的・社会的責任をお客様ご自身が負うことを承諾されたものとみなします。​

また、当社はお客様が本サービスを利用することにより第三者に対して損害を与えた場合においても、その一切の責任を負わないものとします。",0,,line
286,ご利用いただけないお客様,ご利用いただけないお客様,"お客様が以下の各項目に該当すると当社が判断した場合は、本サービスをご利用いただけません。また、本サービスを利用し、広告の配信開始後に各項目に該当することが判明した場合は、直ちに該当する広告アカウントの削除、本サービスの提供停止、本サービスにかかる利用契約の解除等の措置を取らせていただく場合があります。あらかじめご了承ください。

犯罪に使用されるおそれのある商品、サービスの提供を行っている法人、団体、個人​
不法行為または犯罪行為を構成、または助長するおそれのある法人、団体、個人​
他人の個人情報、登録情報、利用履歴などの違法または不正な売買、仲介、斡旋等を行っている法人、団体、個人​
法令または公序良俗に反する行為を行っている、もしくは行うおそれのある法人、団体、個人
契約違反を行っていると当社が判断する法人、団体、個人
その他当社が本サービスの利用が不適当であると判断する法人、団体、個人​
なお、当社はお客様に対し、審査結果およびその理由について説明する義務を負わないものとします。",0,,line
287,禁止事項,禁止事項,"以下のような内容や行為を含む広告を​配信しないでください。​

反社会的なコンテンツ、あるいは反社会的勢力に対する利益供与、その他の協力行為を行う内容​
クリック報酬を目的とする行為、悪質なマーケティング、スパム行為​
意図的に虚偽の情報を流布させる行為、またはお申込された業種の運営・維持とはなんら関係のない内容​
当社または第三者の著作権、商標権などの知的財産権、その他法令または契約上の権利を侵害する内容​
広告主やクリエイティブと直接関係のないページへ遷移させる行為、または第三者のための広告媒体として使用する行為​
誹謗中傷や名誉毀損をするもの、公序良俗や社会通念に反するおそれのある内容​
第三者の個人情報、登録情報、利用履歴情報などを、不正に収集、開示、または提供する行為​
暴力的な表現、露骨な性的表現、人種、国籍、信条、性別、社会的身分などによる差別につながる内容​
醜悪、残虐、猟奇的で不快感を与える内容​
ポルノなどの性的コンテンツ、性行為やわいせつな行為を目的としたもの、面識のない第三者との出会いや交際を目的とする内容​
特定の宗教、思想、信仰、信条に関する内容
訴求するサービス、商品が不明瞭な内容​
投機心、射幸心を著しく煽る内容、ギャンブル性を感じる表現または内容​
非科学的、迷信に類するものでユーザーを惑わせるもの、またはユーザーを誤認させたり、権利や利益を害する可能性がある内容​
ネットワークビジネス、ねずみ講などに関わる内容​
LINE利用規約または、本ガイドラインに抵触する表現を含んだ内容​
LINEロゴ利用ガイドラインの規定に抵触する内容​
本サービスの運営を妨害し、サーバーやネットワークシステムに支障を与える行為、または本サービスの不具合を​意図的に利用する行為​
当社に対し不当な問い合わせまたは要求をする行為​
上記のいずれかに該当する行為を援助または助長する内容や行為​
広告主によるコンテンツが少ない、あるいは品質の低いもの
信憑性のない他社製品との比較やランキング
広告主とは関係のない第三者のサイトへのリンク、無許可で画像転載がされているもの
購入等に際する条件などがわかりにくい表示になっているもの
正確性や信憑性に欠ける内容や、ユーザーにとって有用性の低い内容
当社が認めた場合を除き、意図的に同一ページに同じ広告を重複して掲載する行為
その他､当社が不適当と認める内容",0,,line
288,出稿できない業種・サービス,出稿できない業種・サービス,"当社ポリシーにより、全部もしくは一部に関わらず、下記に該当すると当社が判断した場合、広告アカウントの開設を認めない、または広告アカウントの運用を停止し、本サービスにかかる利用契約を解除する等の措置を取らせていただくことがあります。

特定の宗教、および宗教団体
ギャンブル関連（公営競技・宝くじ、スポーツ振興くじ・パチンコ等は除く）​
アダルト関連​
連鎖販売取引​
たばこ、電子タバコ​ （一部当社が認めた場合を除く）​
武器全般、毒物・劇物​
未承認医薬品⋅医療機器等​
情報商材
チケット不正転売
その他当社が不適合と判断した業種⋅業態、商品⋅サービス​
なお、上記はあくまで一例であり、記載のないケースにおいても、本サービスの利用をお断りすることがあります。あらかじめご了承ください。",0,,line
289,広告掲載にあたって規制・基準があるもの,広告掲載にあたって規制・基準があるもの,"広告掲載にあたり、次の1 ~ 5の商材を広告する際は、法令や広告表示規制に準拠する必要があり、特に注意が必要です。
医薬品、医薬部外品、医療機器、化粧品等に関しては、厚生労働省の定める「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律（医薬品医療機器等法）」および「医薬品等適正広告基準」に基づき厳しく制限されています。​​

効能効果の表示はそれぞれ認められた範囲内とし、条件がある場合は当社サービス内で条件を明示・ 記載、且つ安全性や効能効果を保証する表現がないようにしてください。​
表現規制については、東京都福祉保健局の各資料を参考としてください。​",0,,line
290,広告掲載にあたって規制・基準があるもの,化粧品・薬用化粧品（医薬部外品）,"医薬品医療機器等法の定義では、化粧品とは「人の髪の毛や身体を清潔にして美化し、魅力を増し、容貌を変えて健やかに保つために使うもので、作用が緩和なもの」とされています。​「化粧品」は、使い方が同じでも 「医薬品医療機器等法」によって「化粧品」と「薬用化粧品」に分類されます。​

「化粧品」は肌の保湿や、清浄など、製品全体としてその効果が期待されています。​一方、「薬用化粧品」は化粧品としての期待効果に加えて、肌あれ・にきびを防ぐ、美白、デオドラントなどの効果を持つ「有効成分」が配合され、化粧品と医薬品の間に位置する「医薬部外品」に位置づけられています。​

「医薬部外品」は、厚生労働省が許可した効果・効能に有効な成分が一定の濃度で配合されており、​「治療」というよりは「防止・衛生」を目的に作られています。​​

以下のような表記・表現はできません​。
承認等外の効能効果を暗示・明示する表現​
医薬品ではないものに対し、「診断」「治療」「回復」「改善」「処置」等​、医学用語を用いた表現、また、疾病の治療効果、予防効果を暗示する表現​​
承認等外の効能効果、安全性の保証表現となる使用前後の写真
人体への効能効果に関わる「口コミ」「個人の感想」等を含む表現​
安全性や効能効果に対する絶対的な表現、最大級表現やこれに類似する表現​、または他よりも優位に立つことを意味する表現
医療関係者や、研究者、一般人の認識に影響を与える団体等の推薦​表現
不安感を煽る表現、与える表現​
症状や患部の直接的な画像、表現​
バイブル商法と考えられる表現​
薬用化粧品（医薬部外品）、化粧品 薬用化粧品（医薬部外品）、化粧品
医薬品的な効能効果とは？
疾病の治療または予防を目的とする
身体の組織機能の一般的増強、増進を目的とする効能効果
化粧品の種類
区分	商品の例	効能効果として広告する
ことができる事項
薬用化粧品
ひげそり用剤
薬用石けん
薬用化粧水
化粧品のうち「薬用」とつくもの全般
薬用化粧品
表を拡大する

医薬部外品
デオドラント用品
育毛剤
除毛クリーム
うがい薬
薬用入浴剤
薬用歯みがき剤
医薬部外品
表を拡大する

一般化粧品
化粧水
クリーム
シャンプー
まつ毛用化粧品（まつ毛美容液など）
ファンデーションなどメーキャップ化粧品全般
一般化粧品
表を拡大する

化粧品でよくあるNGポイント
効能効果を逸脱している表現​　例：シミ、シワの治癒、たるみへの言及 など​
不快と感じる表現​　例：シミ、シワ、ニキビなどの症状へのアップ写真​
効果保証の印象を与える表現　例：ビフォーアフター画像、成分+No1表現、「国から認められた」表現
医療と同等の効果を想起させる表現​
特許取得への言及　例：特許を取得している○○成分配合​
年齢にかかる表現
安全性の過度な強調
根拠のないデータの記載
NG表現	事例
効能効果を逸脱、
効果保証の印象を与える表現​	「シワが消える」という記載	効果効能を逸脱、効果保証の印象を与える表現​01
ビフォーアフターでシワが消えている様子を表現	効果効能を逸脱、効果保証の印象を与える表現​02
医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現	「皮膚科スタッフも推奨」という記載	>医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現01
医師の推奨	>医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現​02
クリニック・医療と同等の効果を暗示する表現​	>医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現​02
臨床データや実験、特許などの表現	>医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現​02
根拠のないNo.1などの最大級表現​​	>医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現​02
調査結果など根拠がない数値の記載	>医療関係者（医師、歯科医師、看護師など）の推奨、説明、使用と捉えられるおそれがある表現​02
不快と感じる表現​	シミやしわ、毛穴などのアップ画像
不快と感じる表現​01
不快と感じる表現​02
シャンプーなどでよくあるNGポイント
効能効果を逸脱している表現​　例：毛根への成分浸透、髪の修復効果 など　※補修はOK
効果保証の印象を与える表現​　例：ビフォーアフター画像、成分+No1表現、国から認められた など​​​
不快と感じる表現​　例：頭頂部、生え際、薄毛へのアップ写真 など​​​
矯正縮毛と同等の効果を想起させる表現
特許取得への言及　例：特許を取得している○○成分配合​​​
年齢にかかる表現　例：「若見え」「老け見え」 など​​
安全性の過度な強調　例：「100%無添加」「100%ピュア」など​​
口コミで「絶対効果があるので試した方がいい！！」​といった表現​​​
NG表現	事例
効能効果を逸脱している表現​	髪の修復効果の表現
効能効果を逸脱している表現
効能効果を逸脱している表現
育毛剤などでよくあるNGポイント
効能効果を逸脱している表現　例：毛根への成分浸透、発毛効果 など​
効果保証の印象を与える表現　例：過度なビフォーアフター画像、成分+No1表現、など​
不快と感じる表現　例：頭頂部、生え際、薄毛へのアップ写真 など​​
特許取得への言及　例：特許を取得している○○成分配合​
年齢にかかる表現　例：「若見え」「老け見え」 など​
安全性の過度な強調　例：「100%無添加」「100%ピュア」など​
口コミで「絶対効果があるので試した方がいい！！」といった表現​​
NG表現	事例
不快に感じるおそれのある表現
効能効果を逸脱している表現
効能効果を逸脱している表現
除毛剤などでよくあるNGポイント
効能効果を逸脱している表現​　例：毛根への成分浸透、脱毛効果、抑毛効果 など​​
効果保証の印象を与える表現​　例：過度なビフォーアフター画像、成分+No1表現、など​
他社商品の誹謗​　例：カミソリ負け、○○だと痛い、○○よりキレイに処理 など
不快と感じる表現　例：剛毛、毛を溶かしている途中の写真 など​
特許取得への言及　例：特許を取得している○○成分配合​
年齢にかかる表現　例：「若見え」「老け見え」 など​
安全性の過度な強調　例：「100%無添加」「100%ピュア」など​​​
口コミで「絶対効果があるので試した方がいい！！」​といった表現​
NG表現	事例
効能効果の逸脱	効能効果の逸脱
不快に感じるおそれのある表現	不快に感じるおそれのある表現
オーラルケア・デオドラント用品などでよくあるNGポイント
効能効果を逸脱している表現​　例：ニオイを元から断ち切る など​
効果保証の印象を与える表現​　例：成分+No1表現、国から認められた など​
不快と感じる表現　例：歯の黄ばみ、口臭、体臭 など​
特許取得への言及　例：特許を取得している○○成分配合​
医療と同等の効果を想起させる表現​　例：歯医者も施術で使用​​​
コンプレックスの煽り　例：ニオイのせいで虐められた など​
安全性の過度な強調　例：「100%無添加」「100%ピュア」など​
NG表現	事例
効能効果の逸脱、暗示
効能効果の逸脱
効能効果の逸脱",0,,line
